Provinsi,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACEH,69.84,76.23,83.28,100,109.51,120.43,135.32,132.4,135.34,140.51
SUMATERA UTARA,71.83,81.48,91.97,100,110.82,125.04,141.9,134.81,139.8,145.99
SUMATERA BARAT,76.32,84.3,92.32,100,110.07,122.39,136.3,131.5,141.25,145.68
RIAU,67.87,80.3,90.05,100,112.43,129.79,149.72,145.84,147.28,149.21
JAMBI,73.68,83.23,93.23,100,108.75,115.05,121.44,126.88,133.04,140.16
SUMATERA SELATAN,73.95,83.76,90.3,100,111.27,126.23,142.89,133.75,144.72,148.81
BENGKULU,80.6,86.77,93.54,100,108.54,118.63,129.64,121.56,118.23,119.92
LAMPUNG,76.37,83.04,91.05,100,111.6,126.86,142.27,133.75,150.33,158.42
KEP. BANGKA BELITUNG,74.32,83.75,92.53,100,108.71,120.33,132.46,124.19,126.86,127.78
KEP. RIAU,75.13,82.16,92.09,100,103.57,114.26,128.55,118.51,128.84,131.72
DKI JAKARTA,69.93,80.44,88.27,100,113.91,132.94,154.97,127.12,135.86,146.23
JAWA BARAT,68.65,79.86,91.07,100,114.23,132.07,152.41,146.76,157.64,166.69
JAWA TENGAH,64.97,77.25,89.38,100,111.61,130.3,152.68,141.85,153.04,158.4
DI YOGYAKARTA,74.61,83.34,91.2,100,110.16,124.32,139.38,137.59,140.53,146.61
JAWA TIMUR,66.5,77.44,89.74,100,111.96,129.13,148.43,142.95,144.01,151.14
BANTEN,75.38,83.12,91.8,100,110.3,125.57,142.37,137.57,149.35,156.45
BALI,71.16,81.63,90.41,100,111.25,126.1,142.82,131.68,140.46,145.63
NUSA TENGGARA BARAT,71.97,81.14,91.22,100,110.91,122.88,136.03,120.97,126.39,128.8
NUSA TENGGARA TIMUR,77.41,84.68,92.67,100,104.06,113.64,123.67,110.19,117.5,119.99
KALIMANTAN BARAT,70.99,81.8,92.47,100,109.65,126.44,144.6,139.1,146.81,150.06
KALIMANTAN TENGAH,70.0,79.87,91.98,100,110.68,119.5,134.07,116,124.73,129.04
KALIMANTAN SELATAN,68.88,80.01,90.93,100,113.07,131.98,152.68,137.28,140.02,144.45
KALIMANTAN TIMUR,67.87,78.25,90.13,100,112.07,129.32,148.9,145.86,151.11,157.31
KALIMANTAN UTARA,67.87,78.25,90.13,100,115.62,136.93,164.92,160.79,165.85,172.42
SULAWESI UTARA,70.98,80.01,89.73,100,106.26,119.46,133.4,130.6,135.98,142.07
SULAWESI TENGAH,72.76,81.98,92.82,100,102.52,114.16,126.89,111.58,117.08,123.28
SULAWESI SELATAN,70.4,78.9,89.35,100,110.58,125.84,143.02,140.26,150.22,152.94
SULAWESI TENGGARA,73.93,82.67,91.49,100,109.49,122.21,135.62,119.54,122.08,124.77
GORONTALO,72.8,82.12,91.75,100,109.74,123.47,138.29,126.24,134.53,138.67
SULAWESI BARAT,75.01,84.32,91.03,100,105.39,115.08,129.07,120.95,129.11,133.91
MALUKU,75.27,81.89,90.32,100,109.57,122.78,136.79,121.13,129.96,134.7
MALUKU UTARA,72.31,81.04,91.58,100,104.69,115.61,135.33,130.08,133.85,137.46
PAPUA BARAT,70.89,81.02,91.36,100,105.12,117.7,141.27,134.55,141.46,146.97
PAPUA,75.89,83.32,92.32,100,109.83,123.18,137.75,125.75,135.29,140.57
INDONESIA,69.64,79.9,89.2,100,112.41,129.66,149.55,133.12,140.92,148.9
