Provinsi,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACEH,74.02,81.75,91.08,100,111.92,120.38,134.46,130.75,134.35,140.62
SUMATERA UTARA,69.17,78.94,89.14,100,112.63,124.3,146.91,137.35,144.12,151.96
SUMATERA BARAT,73.04,81.62,89.92,100,111.66,122.44,140.2,128.17,139.46,144.79
RIAU,65.2,78.03,88.73,100,114.96,131.71,157.77,151.02,151.36,153.03
JAMBI,69.1,79.39,92.48,100,109.18,120.93,144.56,121.87,127.18,133.82
SUMATERA SELATAN,69.2,79.96,89.11,100,111.94,128.95,153.47,140.51,156.27,162.71
BENGKULU,77.11,84.0,92.28,100,109.96,122.23,141.03,118.36,112.85,114.81
LAMPUNG,73.84,81.04,90.5,100,112.05,127.9,151.47,139.23,159.84,169.44
KEP. BANGKA BELITUNG,74.17,82.91,91.49,100,111.28,124.13,142.38,130.44,133.56,137.53
KEP. RIAU,68.86,77.88,90.46,100,108.29,123.27,138.01,129.38,146.09,149.34
DKI JAKARTA,68.07,79.12,88.58,100,113.72,133.11,160.59,116.42,123.12,133.5
JAWA BARAT,61.52,74.37,89.05,100,113.19,135.35,165.27,157.8,173.67,187.77
JAWA TENGAH,64.87,77.03,89.92,100,110.8,129.44,154.06,140.66,156.45,160.34
DI YOGYAKARTA,71.94,80.98,89.54,100,112.57,129.32,158.31,155.47,159.64,167.85
JAWA TIMUR,62.0,74.03,88.01,100,113.78,133.56,159.27,145.97,147.67,157.98
BANTEN,69.48,79.04,90.18,100,110.26,129.76,161.46,152.48,167.44,176.67
BALI,67.19,78.53,89.0,100,111.21,127.72,150.9,132.82,141.48,145.04
NUSA TENGGARA BARAT,70.87,80.6,91.49,100,111.46,124.35,143.9,124.05,129.53,132.15
NUSA TENGGARA TIMUR,75.98,83.17,91.88,100,110.8,122.85,141.32,124.85,137.21,138.92
KALIMANTAN BARAT,67.99,79.75,91.93,100,109.32,127.23,154.31,144.57,154.87,155.89
KALIMANTAN TENGAH,69.01,79.48,92.47,100,108.27,110.25,118.88,94.52,101.61,106.2
KALIMANTAN SELATAN,66.54,78.05,89.97,100,114.48,134.31,163.49,140.74,143.32,146.48
KALIMANTAN TIMUR,65.33,76.52,89.62,100,112.72,131.83,158.89,148.42,154.48,161.34
KALIMANTAN UTARA,65.33,76.52,89.62,100,114.54,132.79,157.8,155.1,164.55,172.71
SULAWESI UTARA,70.27,80.11,90.97,100,109.21,124.43,140.35,138.16,148.17,154.9
SULAWESI TENGAH,69.15,79.56,92.05,100,112.48,128.58,150.12,127.04,134.69,143.12
SULAWESI SELATAN,67.48,77.22,88.8,100,111.41,128.76,150.6,141.87,153,155.43
SULAWESI TENGGARA,72.02,81.49,91.63,100,109.66,124.15,144.84,120.48,122.61,126.27
GORONTALO,71.31,81.25,91.59,100,110.05,124.84,147.39,131.91,142.53,147.32
SULAWESI BARAT,71.84,81.01,90.21,100,111.81,125.23,139.58,125.75,137.69,143
MALUKU,75.04,82.65,92.27,100,110.57,125.31,147.39,131.68,144.67,150.01
MALUKU UTARA,71.7,81.17,91.26,100,110.51,125.34,145.31,129.93,135.53,139.94
PAPUA BARAT,67.67,78.88,90.81,100,112.68,131.98,149.34,131.89,143.02,148.33
PAPUA,70.36,79.22,89.37,100,112.45,129.52,154.25,131.36,141.43,146.36
INDONESIA,67.11,78.16,89.11,100,112.91,131.22,157.15,130.29,138.67,147.67
