Provinsi,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACEH,94.96,97.09,98.82,100,102.94,104.15,107.12,105.07,105.03,105.17
SUMATERA UTARA,93.67,96.39,98.11,100,102.69,104.69,108.11,106.34,106.25,107.24
SUMATERA BARAT,93.96,97.21,98.55,100,102.22,104.05,106.3,105.21,105.8,106.87
RIAU,92.33,95.88,98.05,100,102.37,105.75,109.52,107.99,107.68,108.11
JAMBI,94.89,96.44,98.83,100,102.19,104.48,107.06,105.87,106.78,108.54
SUMATERA SELATAN,92.47,96.77,98.33,100,101.8,104.98,108.4,106.73,107.58,108.39
BENGKULU,95.44,98.01,99.01,100,102.09,104.35,107.06,105.02,106.06,106.9
LAMPUNG,95.89,97.47,98.72,100,101.56,103.46,105.86,104,106.11,106.75
KEP. BANGKA BELITUNG,96.38,97.81,98.89,100,101.31,102.88,104.61,103.4,104.31,104.71
KEP. RIAU,93.13,95.11,98.7,100,101.28,104.97,108.52,104.86,104.85,105.26
DKI JAKARTA,94.2,96.45,97.79,100,102.41,104.78,107.48,104.55,104.6,105.98
JAWA BARAT,93.71,96.0,98.39,100,101.99,104.87,108.06,106.73,107.37,107.79
JAWA TENGAH,91.7,95.38,98.45,100,101.13,104.4,107.86,105.6,106.28,106.24
DI YOGYAKARTA,95.69,98.05,99.16,100,101.11,103.34,106.25,104.86,105.44,106.22
JAWA TIMUR,94.23,95.84,98.29,100,101.94,104.6,107.27,105.4,105.55,105.61
BANTEN,97.13,97.82,99.36,100,100.62,102.27,104.97,103.75,104.34,105.02
BALI,93.87,96.48,98.63,100,101.31,103.97,106.82,105.12,106.42,107.43
NUSA TENGGARA BARAT,94.75,97.19,98.51,100,102.13,104.16,106.3,104.96,106.38,107.14
NUSA TENGGARA TIMUR,95.88,97.66,98.95,100,101.63,103.76,105.96,104.56,104.82,104.9
KALIMANTAN BARAT,95.35,96.91,98.49,100,101.74,104.05,106.95,104.95,105.05,105
KALIMANTAN TENGAH,94.79,97.72,99.02,100,102.38,102.58,103.87,101.8,102.65,102.88
KALIMANTAN SELATAN,95.65,97.22,98.8,100,102.05,104.38,107.29,104.33,103.87,104.56
KALIMANTAN TIMUR,88.22,93.18,97.93,100,102.46,107.09,112.02,110.64,111.83,112.86
KALIMANTAN UTARA,88.22,93.18,97.93,100,105.4,112.19,118.62,116.96,116.76,117.25
SULAWESI UTARA,96.4,97.39,98.38,100,101.37,103.01,105.02,103.07,103.06,104.02
SULAWESI TENGAH,97.04,98.1,99.21,100,101.25,102.79,104.58,101.03,101.22,102.52
SULAWESI SELATAN,93.68,96.36,98.65,100,101.26,104.36,107.84,105.99,107.31,108
SULAWESI TENGGARA,94.15,96.34,98.45,100,101.64,103.93,106.33,105.18,105.45,105.43
GORONTALO,92.76,96.65,99.18,100,101.03,103.81,106.45,102.89,102.76,102.68
SULAWESI BARAT,95.87,98.28,99.96,100,101.03,102.67,104.43,101.67,103.23,103.77
MALUKU,90.41,92.37,93.32,100,102.19,105.44,108.85,101.83,100.9,101.9
MALUKU UTARA,93.6,95.13,98.17,100,102.31,104.57,107.25,105.68,105.33,106.06
PAPUA BARAT,94.36,97.11,99.06,100,101.5,105.17,109.15,105.07,105.9,106.5
PAPUA,95.24,97.55,98.32,100,102.22,104.87,107.87,106.37,106.69,106.48
INDONESIA,94.06,96.35,98.21,100,102.04,104.59,107.5,105.27,105.56,106.39
